Legionella tucsonensis
Legionella wadsworthii
Legionella waltersii
Legionella worsleiensis
Leifsonia
Leifsonia aquatica
Leifsonia xyli
Leishmania
Lelliottia
Lelliottia amnigena
Lelliottia nimipressuralis
Leminorella
Leminorella grimontii
Leminorella richardii
Leptosphaeria
Leptosphaeria senegalensis
Leptosphaeria tompkinsii
Leptospira
Leptospira interrogans
Leptotrichia
Leptotrichia buccalis
Leptotrichia goodfellowii
Leptotrichia trevisanii
Leptotrichia wadei
Leuconostoc
Leuconostoc citreum
Leuconostoc lactis
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Listeria
Listeria grayi
Listeria innocua
Listeria ivanovii
Listeria monocytogenes
Listeria seeligeri
Listeria welshimeri
Listonella
Loboa
Lodderomyces
Lodderomyces elongisporus
Lymphocytic choriomeningitis virus
Macrococcus
Macrococcus bovicus
Macrococcus carouselicus
Macrococcus caseolyticus
